Timestamp (UTC_TIME),XBH4.EXPT.NP04.012:COUNTS,XBH4.GENERALTRIGGER:TIMESTAMP_COUNT
2018-10-28 06:12:48.135,0,0
2018-10-28 06:13:09.735,0,0
2018-10-28 06:13:31.335,0,0
2018-10-28 06:13:52.935,0,0
2018-10-28 06:14:14.535,0,0
2018-10-28 06:14:36.135,0,0
2018-10-28 06:14:57.735,1,1
2018-10-28 06:15:19.335,0,0
2018-10-28 06:15:40.935,0,0
2018-10-28 06:16:02.535,0,0
2018-10-28 06:16:24.135,0,0
2018-10-28 06:16:45.735,0,0
2018-10-28 06:17:07.335,0,0
2018-10-28 06:17:28.935,0,0
2018-10-28 06:17:50.535,0,0
2018-10-28 06:18:12.135,0,0
2018-10-28 06:18:33.735,0,0
2018-10-28 06:18:55.335,0,0
2018-10-28 06:19:16.935,1,1
2018-10-28 06:19:38.535,0,0
2018-10-28 06:20:00.135,0,0
2018-10-28 06:20:21.735,0,0
2018-10-28 06:20:43.335,0,0
2018-10-28 06:21:04.935,0,0
2018-10-28 06:21:26.535,0,0
2018-10-28 06:21:48.135,0,0
2018-10-28 06:22:09.735,0,0
2018-10-28 06:22:31.335,0,0
2018-10-28 06:22:52.935,0,0
2018-10-28 06:23:14.535,1,1
2018-10-28 06:23:36.135,0,0
2018-10-28 06:23:57.735,0,0
2018-10-28 06:24:19.335,0,0
2018-10-28 06:24:40.935,0,0
2018-10-28 06:25:02.535,0,0
2018-10-28 06:25:24.135,0,0
2018-10-28 06:25:45.735,0,0
2018-10-28 06:26:07.335,0,0
2018-10-28 06:26:28.935,0,0
2018-10-28 06:26:50.535,0,0
2018-10-28 06:27:12.135,0,0
2018-10-28 06:27:33.735,0,0
2018-10-28 06:27:55.335,0,0
2018-10-28 06:28:16.935,0,0
2018-10-28 06:28:38.535,0,0
2018-10-28 06:29:00.135,0,0
2018-10-28 06:29:21.735,0,0
2018-10-28 06:29:43.335,0,0
2018-10-28 06:30:04.935,0,0
2018-10-28 06:30:26.535,0,0
2018-10-28 06:30:48.135,0,0
2018-10-28 06:31:09.735,0,0
2018-10-28 06:31:31.335,0,0
2018-10-28 06:31:52.935,0,0
2018-10-28 06:32:14.535,0,0
2018-10-28 06:32:36.135,0,0
2018-10-28 06:32:57.735,0,0
2018-10-28 06:33:19.335,0,0
2018-10-28 06:33:40.935,0,0
2018-10-28 06:34:02.535,0,0
2018-10-28 06:34:24.135,0,0
2018-10-28 06:34:45.735,0,0
2018-10-28 06:35:07.335,1,1
2018-10-28 06:35:28.935,0,0
2018-10-28 06:35:50.535,0,0
2018-10-28 06:36:12.135,0,0
2018-10-28 06:36:33.735,0,0
2018-10-28 06:36:55.335,0,0
2018-10-28 06:37:16.935,0,0
2018-10-28 06:37:38.535,0,0
2018-10-28 06:38:00.135,0,0
2018-10-28 06:38:21.735,0,0
2018-10-28 06:38:43.335,0,0
2018-10-28 06:39:04.935,0,0
2018-10-28 06:39:26.535,0,0
2018-10-28 06:39:48.135,0,0
2018-10-28 06:40:09.735,0,0
2018-10-28 06:40:31.335,0,0
2018-10-28 06:40:52.935,0,0
2018-10-28 06:41:14.535,0,0
2018-10-28 06:41:36.135,0,0
2018-10-28 06:41:57.735,0,0
2018-10-28 06:42:19.335,0,0
2018-10-28 06:42:40.935,1,1
2018-10-28 06:43:02.535,0,0
2018-10-28 06:43:24.135,0,0
2018-10-28 06:43:45.735,0,0
2018-10-28 06:44:07.335,0,0
2018-10-28 06:44:28.935,0,0
2018-10-28 06:44:50.535,0,0
2018-10-28 06:45:12.135,0,0
2018-10-28 06:45:33.735,0,0
2018-10-28 06:45:55.335,0,0
2018-10-28 06:46:16.935,0,0
2018-10-28 06:46:38.535,0,0
2018-10-28 06:47:00.135,0,0
2018-10-28 06:47:21.735,0,0
2018-10-28 06:47:43.335,0,0
2018-10-28 06:48:04.935,0,0
2018-10-28 06:48:26.535,0,0
2018-10-28 06:48:48.135,0,0
2018-10-28 06:49:09.735,0,0
2018-10-28 06:49:31.335,1,1
2018-10-28 06:49:52.935,0,0
2018-10-28 06:50:14.535,0,0
2018-10-28 06:50:36.135,0,0
2018-10-28 06:50:57.735,0,0
2018-10-28 06:51:19.335,0,0
2018-10-28 06:51:40.935,0,0
2018-10-28 06:52:02.535,0,0
2018-10-28 06:52:24.135,0,0
2018-10-28 06:52:45.735,0,0
2018-10-28 06:53:07.335,0,0
2018-10-28 06:53:28.935,0,0
2018-10-28 06:53:50.535,0,0
2018-10-28 06:54:12.135,0,0
2018-10-28 06:54:33.735,0,0
2018-10-28 06:54:55.335,0,0
2018-10-28 06:55:16.935,0,0
2018-10-28 06:55:38.535,0,0
2018-10-28 06:56:00.135,0,0
2018-10-28 06:56:21.735,0,0
2018-10-28 06:56:43.335,0,0
2018-10-28 06:57:04.935,0,0
2018-10-28 06:57:26.535,0,0
2018-10-28 06:57:48.135,0,0
2018-10-28 06:58:09.735,0,0
2018-10-28 06:58:31.335,0,0
2018-10-28 06:58:52.935,0,0
2018-10-28 06:59:14.535,0,0
2018-10-28 06:59:36.135,0,0
2018-10-28 06:59:57.735,0,0
2018-10-28 07:00:19.335,0,0
2018-10-28 07:00:40.935,0,0
2018-10-28 07:01:02.535,0,0
2018-10-28 07:01:24.135,0,0
2018-10-28 07:01:45.735,0,0
2018-10-28 07:02:07.335,0,0
2018-10-28 07:02:28.935,0,0
2018-10-28 07:02:50.535,0,0
2018-10-28 07:03:12.135,0,0
2018-10-28 07:03:33.735,0,0
2018-10-28 07:03:55.335,0,0
2018-10-28 07:04:16.935,0,0
2018-10-28 07:04:38.535,0,0
2018-10-28 07:05:00.135,0,0
2018-10-28 07:05:21.735,0,0
2018-10-28 07:05:43.335,0,0
2018-10-28 07:06:04.935,0,0
2018-10-28 07:06:26.535,0,0
2018-10-28 07:06:48.135,0,0
2018-10-28 07:07:09.735,0,0
2018-10-28 07:07:31.335,0,0
2018-10-28 07:07:52.935,0,0
2018-10-28 07:08:14.535,0,0
2018-10-28 07:08:36.135,0,0
2018-10-28 07:08:57.735,0,0
2018-10-28 07:09:19.335,0,0
2018-10-28 07:09:40.935,0,0
2018-10-28 07:10:02.535,0,0
2018-10-28 07:10:24.135,0,0
2018-10-28 07:10:45.735,0,0
2018-10-28 07:11:07.335,0,0
2018-10-28 07:11:28.935,0,0
2018-10-28 07:11:50.535,0,0
2018-10-28 07:12:12.135,0,0
2018-10-28 07:12:33.735,0,0
2018-10-28 07:12:55.335,0,0
2018-10-28 07:13:16.935,0,0
2018-10-28 07:13:38.535,0,0
2018-10-28 07:14:00.135,0,0
2018-10-28 07:14:21.735,0,0
2018-10-28 07:14:43.335,0,0
2018-10-28 07:15:04.935,0,0
2018-10-28 07:15:26.535,0,0
2018-10-28 07:15:48.135,0,0
2018-10-28 07:16:09.735,0,0
2018-10-28 07:16:31.335,0,0
2018-10-28 07:16:52.935,0,0
2018-10-28 07:17:14.535,0,0
2018-10-28 07:17:36.135,0,0
2018-10-28 07:17:57.735,0,0
2018-10-28 07:18:19.335,0,0
2018-10-28 07:18:40.935,1,1
2018-10-28 07:19:02.535,0,0
2018-10-28 07:19:24.135,0,0
2018-10-28 07:19:45.735,0,0
2018-10-28 07:20:07.335,0,0
2018-10-28 07:20:28.935,0,0
2018-10-28 07:20:50.535,0,0
2018-10-28 07:21:12.135,0,0
2018-10-28 07:21:33.735,0,0
2018-10-28 07:21:55.335,1,1
2018-10-28 07:22:16.935,0,0
2018-10-28 07:22:38.535,0,0
2018-10-28 07:23:00.135,0,0
2018-10-28 07:23:21.735,0,0
2018-10-28 07:23:43.335,0,0
2018-10-28 07:24:04.935,0,0
2018-10-28 07:24:26.535,0,0
2018-10-28 07:24:48.135,0,0
2018-10-28 07:25:09.735,0,0
2018-10-28 07:25:31.335,0,0
2018-10-28 07:25:52.935,0,0
2018-10-28 07:26:14.535,0,0
2018-10-28 07:26:36.135,0,0
2018-10-28 07:26:57.735,0,0
2018-10-28 07:27:19.335,1,1
2018-10-28 07:27:40.935,0,0
2018-10-28 07:28:02.535,0,0
2018-10-28 07:28:24.135,0,0
2018-10-28 07:28:45.735,0,0
2018-10-28 07:29:07.335,0,0
2018-10-28 07:29:28.935,0,0
2018-10-28 07:29:50.535,0,0
2018-10-28 07:30:12.135,0,0
2018-10-28 07:30:33.735,0,0
2018-10-28 07:30:55.335,0,0
2018-10-28 07:31:16.935,0,0
2018-10-28 07:31:38.535,0,0
2018-10-28 07:32:00.135,0,0
2018-10-28 07:32:21.735,0,0
2018-10-28 07:32:43.335,0,0
2018-10-28 07:33:04.935,0,0
2018-10-28 07:33:26.535,0,0
2018-10-28 07:33:48.135,0,0
2018-10-28 07:34:09.735,0,0
2018-10-28 07:34:31.335,0,0
2018-10-28 07:34:52.935,0,0
2018-10-28 07:35:14.535,0,0
2018-10-28 07:35:36.135,0,0
2018-10-28 07:35:57.735,0,0
2018-10-28 07:36:19.335,1,1
2018-10-28 07:36:40.935,0,0
2018-10-28 07:37:02.535,0,0
2018-10-28 07:37:24.135,0,0
2018-10-28 07:37:45.735,0,0
2018-10-28 07:38:07.335,0,0
2018-10-28 07:38:28.935,0,0
2018-10-28 07:38:50.535,0,0
2018-10-28 07:39:12.135,0,0
2018-10-28 07:39:33.735,0,0
2018-10-28 07:39:55.335,0,0
2018-10-28 07:40:16.935,0,0
2018-10-28 07:40:38.535,0,0
2018-10-28 07:41:00.135,0,0
2018-10-28 07:41:21.735,0,0
2018-10-28 07:41:43.335,0,0
2018-10-28 07:42:04.935,0,0
2018-10-28 07:42:26.535,0,0
2018-10-28 07:42:48.135,0,0
2018-10-28 07:43:09.735,0,0
2018-10-28 07:43:31.335,0,0
2018-10-28 07:43:52.935,0,0
2018-10-28 07:44:14.535,0,0
2018-10-28 07:44:36.135,0,0
2018-10-28 07:44:57.735,0,0
2018-10-28 07:45:19.335,0,0
2018-10-28 07:45:40.935,0,0
2018-10-28 07:46:02.535,0,0
2018-10-28 07:46:24.135,0,0
2018-10-28 07:46:45.735,0,0
2018-10-28 07:47:07.335,0,0
2018-10-28 07:47:28.935,0,0
2018-10-28 07:47:50.535,0,0
2018-10-28 07:48:12.135,0,0
2018-10-28 07:48:33.735,0,0
2018-10-28 07:48:55.335,0,0
2018-10-28 07:49:16.935,0,0
2018-10-28 07:49:38.535,0,0
2018-10-28 07:50:00.135,0,0
2018-10-28 07:50:21.735,0,0
2018-10-28 07:50:43.335,0,0
2018-10-28 07:51:04.935,0,0
2018-10-28 07:51:26.535,0,0
2018-10-28 07:51:48.135,0,0
2018-10-28 07:52:09.735,0,0
2018-10-28 07:52:31.335,0,0
2018-10-28 07:52:52.935,0,0
2018-10-28 07:53:14.535,0,0
2018-10-28 07:53:36.135,0,0
2018-10-28 07:53:57.735,0,0
2018-10-28 07:54:19.335,0,0
2018-10-28 07:54:40.935,0,0
2018-10-28 07:55:02.535,0,0
2018-10-28 07:55:24.135,0,0
2018-10-28 07:55:45.735,0,0
2018-10-28 07:56:07.335,0,0
2018-10-28 07:56:28.935,0,0
2018-10-28 07:56:50.535,0,0
2018-10-28 07:57:12.135,0,0
2018-10-28 07:57:33.735,0,0
2018-10-28 07:57:55.335,0,0
2018-10-28 07:58:16.935,0,0
2018-10-28 07:58:38.535,0,0
2018-10-28 07:59:00.135,0,0
2018-10-28 07:59:21.735,0,0
2018-10-28 07:59:43.335,0,0
2018-10-28 08:00:04.935,0,0
2018-10-28 08:00:26.535,0,0
2018-10-28 08:00:48.135,0,0
2018-10-28 08:01:09.735,0,0
2018-10-28 08:01:31.335,0,0
2018-10-28 08:01:52.935,0,0
2018-10-28 08:02:14.535,0,0
2018-10-28 08:02:36.135,0,0
2018-10-28 08:02:57.735,0,0
2018-10-28 08:03:19.335,0,0
2018-10-28 08:03:40.935,0,0
2018-10-28 08:04:02.535,0,0
2018-10-28 08:04:24.135,0,0
2018-10-28 08:04:45.735,0,0
2018-10-28 08:05:07.335,0,0
2018-10-28 08:05:28.935,0,0
2018-10-28 08:05:50.535,0,0
2018-10-28 08:06:12.135,0,0
2018-10-28 08:06:33.735,0,0
